ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
quantum gravity,357,0.007844091741090303,85427532.28217818,357,0.007844091741090303,85427532.28217818
wide range,357,0.007844091741090303,85427210.20689365,357,0.007844091741090303,85427210.20689365
chemical potential,356,0.007822119495316941,85188380.49221374,356,0.007822119495316941,85188380.49221374
anomalous dimension,353,0.007756202757996855,84472102.33214173,353,0.007756202757996855,84472102.33214173
important role,352,0.007734230512223493,84232754.17804456,352,0.007734230512223493,84232754.17804456
electromagnetic field,352,0.007734230512223493,84233200.22597833,352,0.007734230512223493,84233200.22597833
modulus space,344,0.0075584525460365955,82322222.26921934,344,0.0075584525460365955,82322222.26921934
heavy quark,340,0.007470563562943147,81365270.32615842,340,0.007470563562943147,81365270.32615842
double beta decay,259,0.007181004790601034,62002198.582573146,259,0.007181004790601034,62002198.582573146
special case,324,0.007119007630569351,77541858.17371608,324,0.007119007630569351,77541858.17371608
lower bound,323,0.007097035384795989,77302150.23162933,323,0.007097035384795989,77302150.23162933
fixed point,322,0.007075063139022627,77063706.26039277,322,0.007075063139022627,77063706.26039277
inelastic scattering,321,0.007053090893249265,76825126.26491626,321,0.007053090893249265,76825126.26491626
central charge,318,0.006987174155929179,76107774.32253718,318,0.006987174155929179,76107774.32253718
supersymmetric model,316,0.006943229664382454,75629268.27633996,316,0.006943229664382454,75629268.27633996
perturbative qcd,309,0.006789423943968918,73956450.27343711,309,0.006789423943968918,73956450.27343711
effective potential,308,0.006767451698195556,73717006.24168952,308,0.006767451698195556,73717006.24168952
pp collision,304,0.006679562715102108,72761088.43688494,304,0.006679562715102108,72761088.43688494
new result,303,0.006657590469328745,72522512.14281361,303,0.006657590469328745,72522512.14281361
dark matter particle,240,0.006654212933375475,57457468.51532156,240,0.006654212933375475,57457468.51532156
neutrino oscillation,301,0.006613645977782021,72044726.25401235,301,0.006613645977782021,72044726.25401235
scalar field theory,238,0.006598761158930679,56980362.17680201,238,0.006598761158930679,56980362.17680201
differential equation,296,0.0065037847489152105,70849164.20394179,296,0.0065037847489152105,70849164.20394179
strong coupling,293,0.0064378680115951235,70131346.24375114,293,0.0064378680115951235,70131346.24375114
free energy,291,0.0063939235200483995,69653330.29746807,291,0.0063939235200483995,69653330.29746807
free parameter,288,0.006328006782728312,68935792.20299023,288,0.006328006782728312,68935792.20299023
future experiment,285,0.0062620900454082255,68218742.21500608,285,0.0062620900454082255,68218742.21500608
black hole solution,223,0.006182872850594712,53391858.36641709,223,0.006182872850594712,53391858.36641709
large number,278,0.00610828432499469,66545486.15604552,278,0.00610828432499469,66545486.15604552
linear collider,276,0.006064339833447966,66067364.26251824,276,0.006064339833447966,66067364.26251824
right-handed neutrino,276,0.006064339833447966,66066226.48581783,276,0.006064339833447966,66066226.48581783
tree level,272,0.005976450850354517,65110386.22822739,272,0.005976450850354517,65110386.22822739
sterile neutrino,269,0.005910534113034431,64393444.46786287,269,0.005910534113034431,64393444.46786287
invariant mass,268,0.005888561867261069,64154244.24263022,268,0.005888561867261069,64154244.24263022
centre-of-mass energy,263,0.005778700638394257,62958460.47927632,263,0.005778700638394257,62958460.47927632
gauge field,262,0.005756728392620895,62719802.188829124,262,0.005756728392620895,62719802.188829124
scalar potential,259,0.005690811655300809,62002130.23436823,259,0.005690811655300809,62002130.23436823
electric field,259,0.005690811655300809,62002682.2044091,259,0.005690811655300809,62002682.2044091
angular distribution,256,0.005624894917980722,61285170.173469864,256,0.005624894917980722,61285170.173469864
second order,255,0.00560292267220736,61045676.22515329,255,0.00560292267220736,61045676.22515329
large class,249,0.005471089197567187,59610974.163758464,249,0.005471089197567187,59610974.163758464
center-of-mass energy,245,0.0053832002144737386,58653840.40619656,245,0.0053832002144737386,58653840.40619656
neutrino mass,245,0.0053832002144737386,58653794.37556865,245,0.0053832002144737386,58653794.37556865
relic density,245,0.0053832002144737386,58652950.54918802,245,0.0053832002144737386,58652950.54918802
standard model higgs,192,0.005323370346700379,45975444.3003093,192,0.005323370346700379,45975444.3003093
supersymmetric gauge theory,191,0.005295644459477981,45737098.22330382,191,0.005295644459477981,45737098.22330382
systematic uncertainty,239,0.005251366739833565,57219340.20864854,239,0.005251366739833565,57219340.20864854
imaginary part,236,0.0051854500025134784,56501546.3171926,236,0.0051854500025134784,56501546.3171926
cosmological model,235,0.0051634777567401155,56262296.304017834,235,0.0051634777567401155,56262296.304017834
previous result,235,0.0051634777567401155,56262474.15640593,235,0.0051634777567401155,56262474.15640593
chiral symmetry breaking,185,0.005129289136143595,44300808.32254933,185,0.005129289136143595,44300808.32254933
present result,233,0.0051195332651933914,55784466.16487533,233,0.0051195332651933914,55784466.16487533
theoretical uncertainty,233,0.0051195332651933914,55783852.260874696,233,0.0051195332651933914,55783852.260874696
electric charge,232,0.005097561019420029,55544726.209766366,232,0.005097561019420029,55544726.209766366
global symmetry,232,0.005097561019420029,55544640.25313185,232,0.005097561019420029,55544640.25313185
matrix element,232,0.005097561019420029,55545132.17203902,232,0.005097561019420029,55545132.17203902
same time,232,0.005097561019420029,55544760.17194604,232,0.005097561019420029,55544760.17194604
dimensional reduction,231,0.005075588773646667,55306128.168341294,231,0.005075588773646667,55306128.168341294
qcd sum rule,182,0.005046111474476402,43583816.21589489,182,0.005046111474476402,43583816.21589489
massive gravity,229,0.005031644282099943,54827444.316407464,229,0.005031644282099943,54827444.316407464
strong interaction,229,0.005031644282099943,54827378.19921118,229,0.005031644282099943,54827378.19921118
such model,228,0.005009672036326581,54587920.19911265,228,0.005009672036326581,54587920.19911265
critical temperature,228,0.005009672036326581,54588128.33415586,228,0.005009672036326581,54588128.33415586
experimental constraint,227,0.004987699790553218,54348098.306652874,227,0.004987699790553218,54348098.306652874
\cal n,225,0.004943755299006494,53870882.26823518,225,0.004943755299006494,53870882.26823518
first order,225,0.004943755299006494,53870604.20652397,225,0.004943755299006494,53870604.20652397
entanglement entropy,224,0.004921783053233131,53631548.35597193,224,0.004921783053233131,53631548.35597193
preliminary result,223,0.004899810807459769,53393086.11255919,223,0.004899810807459769,53393086.11255919
higgs mass,222,0.004877838561686407,53152412.29688725,222,0.004877838561686407,53152412.29688725
simple model,220,0.004833894070139683,52674702.15148151,220,0.004833894070139683,52674702.15148151
direct detection experiment,174,0.004824304376697219,41668178.53183682,174,0.004824304376697219,41668178.53183682
dark matter annihilation,173,0.004796578489474821,41428842.6023896,173,0.004796578489474821,41428842.6023896
recent work,218,0.004789949578592959,52196330.13552646,218,0.004789949578592959,52196330.13552646
yukawa coupling,218,0.004789949578592959,52195764.25782227,218,0.004789949578592959,52195764.25782227
ads/cft correspondence,215,0.004724032841272872,51478760.1640968,215,0.004724032841272872,51478760.1640968
massive particle,215,0.004724032841272872,51478178.24926879,215,0.004724032841272872,51478178.24926879
previous study,213,0.004680088349726147,50999930.16263054,213,0.004680088349726147,50999930.16263054
new particle,212,0.004658116103952785,50760306.255529955,212,0.004658116103952785,50760306.255529955
new class,210,0.004614171612406061,50282366.18518398,210,0.004614171612406061,50282366.18518398
lhc energy,210,0.004614171612406061,50282422.32131283,210,0.004614171612406061,50282422.32131283
higher dimension,209,0.004592199366632699,50043130.19314015,209,0.004592199366632699,50043130.19314015
gauge symmetry,208,0.004570227120859337,49803486.23105438,208,0.004570227120859337,49803486.23105438
spectral function,206,0.004526282629312613,49325538.25843582,206,0.004526282629312613,49325538.25843582
cross section,206,0.004526282629312613,49325422.20393956,206,0.004526282629312613,49325422.20393956
large value,206,0.004526282629312613,49325090.206484444,206,0.004526282629312613,49325090.206484444
recent development,204,0.004482338137765888,48847182.14843247,204,0.004482338137765888,48847182.14843247
gravitational field,204,0.004482338137765888,48846898.21162438,204,0.004482338137765888,48846898.21162438
recent progress,204,0.004482338137765888,48847396.1233138,204,0.004482338137765888,48847396.1233138
dark matter search,161,0.004463867842806048,38557480.29675087,161,0.004463867842806048,38557480.29675087
nuclear matter,202,0.004438393646219163,48368398.366480224,202,0.004438393646219163,48368398.366480224
new method,201,0.004416421400445801,48129576.12266472,201,0.004416421400445801,48129576.12266472
spectral index,200,0.004394449154672439,47889652.56594961,200,0.004394449154672439,47889652.56594961
\cal o,200,0.004394449154672439,47889712.17845282,200,0.004394449154672439,47889712.17845282
electromagnetic form factor,158,0.004380690181138854,37839978.211486585,158,0.004380690181138854,37839978.211486585
