,ngram,partition,termhood_x
14,cosmological constant,1,187032664.45018
9,quantum field theory,1,184176866.26949674
16,general relativity,1,158924872.43289873
12,conformal field theory,1,158210956.39808294
19,effective action,1,152728580.28221363
22,effective theory,1,149390172.27711463
32,gauge theory,1,113847362.26347315
37,angular momentum,1,109311590.27039471
43,previous work,1,96655588.17316212
50,gravitational wave,1,91400004.4035548
52,dark energy,1,90922158.51153529
53,exact solution,1,89489590.20798343
54,initial condition,1,87338922.28386244
57,quantum gravity,1,85427532.28217818
60,anomalous dimension,1,84472102.33214173
62,electromagnetic field,1,84233200.22597833
39,cosmic microwave background,1,82798430.64028405
63,modulus space,1,82322222.26921934
66,special case,1,77541858.17371608
68,fixed point,1,77063706.26039277
70,central charge,1,76107774.32253718
79,differential equation,1,70849164.20394179
80,strong coupling,1,70131346.24375114
81,free energy,1,69653330.29746807
92,gauge field,1,62719802.188829124
94,electric field,1,62002682.2044091
96,second order,1,61045676.22515329
97,large class,1,59610974.163758464
78,scalar field theory,1,56980362.17680201
106,previous result,1,56262474.15640593
105,cosmological model,1,56262296.304017834
110,electric charge,1,55544726.209766366
111,global symmetry,1,55544640.25313185
114,dimensional reduction,1,55306128.168341294
116,massive gravity,1,54827444.316407464
121,\cal n,1,53870882.26823518
122,first order,1,53870604.20652397
123,entanglement entropy,1,53631548.35597193
84,black hole solution,1,53391858.36641709
129,recent work,1,52196330.13552646
131,ads/cft correspondence,1,51478760.1640968
135,new class,1,50282366.18518398
137,higher dimension,1,50043130.19314015
143,gravitational field,1,48846898.21162438
147,new method,1,48129576.12266472
148,spectral index,1,47889652.56594961
151,kinetic term,1,47650542.22191731
157,explicit expression,1,46694042.14385928
158,numerical simulation,1,46693642.173879534
165,critical value,1,45975936.18543015
164,spatial dimension,1,45975910.18856886
102,supersymmetric gauge theory,1,45737098.22330382
169,critical exponent,1,45258050.35498692
178,supersymmetric theory,1,44061794.161502
182,conformal symmetry,1,43343678.22414199
185,explicit example,1,42865410.15795884
188,dirac equation,1,42626616.138451956
187,inflationary model,1,42625776.37461702
191,two-point function,1,42386724.19590252
190,present paper,1,42386686.15342283
194,complete set,1,42147554.14121215
201,quantum fluctuation,1,40711584.17692914
206,space-time dimension,1,39993710.15027347
210,analytic expression,1,39514892.17063342
214,energy-momentum tensor,1,39275700.189711176
215,quantum correction,1,39275568.195184305
218,new approach,1,39036610.12103267
216,perturbative expansion,1,39036308.175437465
220,arbitrary number,1,38797184.16887466
224,detailed analysis,1,38078842.160912976
226,cosmic string,1,37839900.22905318
227,n =,1,37600754.15178368
228,late time,1,37600106.24006078
231,hilbert space,1,37361432.155039005
230,feynman diagram,1,37361234.159400806
159,supersymmetric yang-mills theory,1,36882684.18537695
234,particular case,1,36882502.12987386
161,super yang-mills theory,1,36643316.17765777
236,linear combination,1,36643222.14352361
239,crucial role,1,36403510.15312779
168,superconformal field theory,1,35925328.22693359
248,higher order,1,35206998.155912556
254,analytic continuation,1,34249588.17408559
255,flat space,1,34010112.17430091
260,hole solution,1,33531118.289021757
261,new type,1,33292202.126542892
262,particular attention,1,33291964.142419208
265,asymptotic behavior,1,33052720.155616805
270,green function,1,32813444.144719332
266,general form,1,32813384.161928173
267,general case,1,32813366.132839303
269,spacetime dimension,1,32813300.16213098
272,cosmological perturbation,1,32573812.252848294
275,dimensional regularization,1,32334718.16538179
276,main result,1,32334574.147650953
274,lorentz invariance,1,32334562.17332625
278,numerical calculation,1,32095204.13676805
277,first step,1,32095194.170014
279,different type,1,32095126.141485255
285,fundamental representation,1,31616502.169986743
284,einstein gravity,1,31616280.200733583
283,tensor-to-scalar ratio,1,31615990.460292403
287,open string,1,31377258.206817627
212,black hole entropy,1,31137688.223464195
294,conformal invariance,1,30898196.176719103
219,black hole horizon,1,30898166.21751437
297,analytical expression,1,30658800.142785963
302,topological defect,1,30180188.138320025
303,n=4 sym,1,29940786.229783863
307,physical interpretation,1,29701406.1175912
308,previous paper,1,29701388.135922525
309,numerical solution,1,29701268.15168453
310,einstein equation,1,29701148.18749011
311,first law,1,29461622.317459613
312,latter case,1,29461592.210677877
320,harmonic oscillator,1,28983296.155717805
318,classical solution,1,28983140.148999546
327,yang-mills theory,1,28743806.140036974
324,minkowski space,1,28743782.154292442
325,infinite number,1,28743722.127475485
326,arbitrary dimension,1,28743674.157110658
323,such theory,1,28743508.15667739
332,scale factor,1,28504028.260179598
330,observational data,1,28503842.343637623
335,numerical study,1,28264756.13674299
344,weak coupling,1,28025358.166643716
337,gravitational theory,1,28025314.17810737
339,second part,1,28025226.496204186
345,super yang-mills,1,27786232.153348457
347,quasinormal mode,1,27785786.32514168
349,exact result,1,27546512.183237832
354,gauge invariance,1,27307372.134880878
358,lorentz symmetry,1,27307186.278457846
353,scalar perturbation,1,27307010.217082262
360,lorentz violation,1,27067806.291680224
370,analytical result,1,26588732.166809358
376,external field,1,26349458.15390891
374,general class,1,26349378.150569726
379,new feature,1,26110046.123616483
384,new model,1,26110030.135227103
396,topological charge,1,25870680.170048565
395,physical quantity,1,25870468.150853872
398,irreducible representation,1,25631420.130900234
401,several example,1,25631262.123307005
404,n limit,1,25391896.14452407
405,earlier work,1,25391716.13174799
406,large distance,1,25391634.158929434
414,non-minimal coupling,1,25152060.22189071
419,cosmological solution,1,24912746.18149949
423,explicit form,1,24673604.111353863
424,local operator,1,24673348.185108107
421,analytic solution,1,24673276.158750728
439,magnetic flux,1,23955072.203674298
441,general solution,1,23715604.142461702
440,strong evidence,1,23715592.1291618
443,three-point function,1,23715518.210020464
442,hubble parameter,1,23715384.241591983
451,integrable system,1,23476362.17777595
447,dual description,1,23476044.171893023
449,first principle,1,23476028.15643795
458,heterotic string,1,23236944.167899
459,finite number,1,23236704.12984343
461,one-loop order,1,23236666.153344896
463,general formula,1,23236654.140523873
464,anti-de sitter,1,23236522.188259073
465,explicit calculation,1,22997218.14283533
328,nonlinear sigma model,1,22757904.120058425
470,large n,1,22757794.17809048
468,concrete example,1,22757688.142330665
469,large scale,1,22757638.233935844
476,new solution,1,22518372.138621233
334,anti-de sitter space,1,22518270.180988744
478,cosmological evolution,1,22518082.1934066
480,noncommutative space,1,22279120.149623636
484,recent study,1,22039444.123202704
483,early stage,1,22039184.192302614
489,flat spacetime,1,21799910.137379304
351,holographic entanglement entropy,1,21799880.280556824
490,general framework,1,21799844.132535048
497,boundary state,1,21560668.141291473
494,noncommutative geometry,1,21560572.326620523
498,auxiliary field,1,21560524.158855118
496,first part,1,21560272.48872247
509,simple example,1,21321130.104625784
504,calabi-yau manifold,1,21321118.186410375
507,classical limit,1,21321042.139479008
510,chiral fermion,1,21320996.143558916
502,analytic result,1,21320870.161444813
508,symmetric solution,1,21320822.182207588
511,observational constraint,1,21320702.23195981
519,kinetic energy,1,21081466.13389639
521,thermodynamic property,1,21081306.207549676
528,analytical solution,1,20842066.139639914
523,physical property,1,20841986.126472622
525,modified gravity,1,20841844.281012706
532,magnetic charge,1,20602532.25236918
536,gauge group,1,20602518.14733308
385,black hole background,1,20602454.174317688
537,wide class,1,20602426.13289262
386,dual field theory,1,20602404.199999064
