,article_id
157353,469466
35353,205452
422829,1117232
356722,863846
65397,22967
335108,784373
129384,416650
12376,171053
124915,429978
8463,171263
468503,1310843
539105,1512791
679255,806598
633761,1402168
441315,1209708
130963,419594
590567,1837625
750638,583504
168675,506336
211186,604286
583567,1755425
157732,467075
50185,237769
267846,693018
684691,880971
349158,810154
548206,1665454
796451,1116869
783085,1775786
78354,278380
762219,692142
131607,416938
329578,800302
598998,1836656
504059,1429662
480979,1375493
684431,815647
9920,11459
235876,633710
330754,800346
308360,744643
545957,1658613
332232,782684
599401,1794334
792160,1639023
744967,503242
51643,235670
21642,190673
376719,867506
313072,766599
489771,1960855
573375,1756282
742766,594777
508275,1467214
767769,618593
219493,586797
60108,254825
399742,899635
11240,164436
153548,479446
44106,217865
512427,1484848
78415,276946
761256,696942
506375,1476339
654058,1397549
253730,643921
112660,386197
27459,193101
135708,458974
168427,509183
333803,802966
397130,914938
715667,399108
354069,839006
515075,1480397
541943,1697159
482354,1385104
50494,20627
480816,1410089
67832,261845
578131,1755420
168646,506479
437261,1256081
762622,600180
421189,1093915
512466,1484307
618838,943537
629649,1124210
375244,848633
421109,1111668
232807,633981
271229,699189
768675,680049
660482,1337608
