,topic,word,unithood,p,x
4307,43,cosmological,0.6931471805599453,0.028222445398569107,0.01956230845652518
4308,43,massive,0.6931471805599453,0.02753361314535141,0.019084846322328576
4313,43,cosmological constant,1.0986122886681098,0.017358582466840744,0.019070352011930032
4314,43,extra dimensions,1.0986122886681098,0.01621709018945694,0.01781629456857644
4316,43,scalar field,1.0986122886681098,0.016000600531697273,0.017578456370192116
4309,43,bulk,0.6931471805599453,0.022141043096780777,0.015347001597189835
4310,43,graviton,0.6931471805599453,0.020881466567516327,0.0144739296772307
4311,43,derivative,0.6931471805599453,0.01767347753047943,0.012250321120941363
4400,44,simulation,0.6931471805599453,0.06162349134683609,0.042714149283319625
4401,44,carlo,0.6931471805599453,0.05587149038910866,0.038727166036892746
4402,44,monte,0.6931471805599453,0.05456339940428734,0.037820466458847964
4403,44,lattice,0.6931471805599453,0.04352528974413872,0.030169431869204455
4404,44,method,0.6931471805599453,0.03666231036186218,0.02541237706013844
4405,44,correlation,0.6931471805599453,0.031627070158720016,0.02192221450988836
4406,44,distribution,0.6931471805599453,0.02831205166876316,0.01962441879007068
4407,44,cluster,0.6931471805599453,0.018277406692504883,0.012668932916857235
4408,44,generator,0.6931471805599453,0.015571637079119682,0.010793436338094509
4409,44,statistical,0.6931471805599453,0.015464122407138348,0.01071891284634182
4410,44,study,0.6931471805599453,0.014801119454205036,0.010259354218813178
4411,44,function,0.6931471805599453,0.014765281230211258,0.010234513054895613
4412,44,scaling,0.6931471805599453,0.01392308808863163,0.009650749253322773
4413,44,size,0.6931471805599453,0.013582626357674599,0.009414759164421346
4414,44,event,0.6931471805599453,0.012579161673784256,0.00871921044799128
4500,45,neutrino,0.6931471805599453,0.29473423957824707,0.2042942071781414
4501,45,oscillation,0.6931471805599453,0.05461238697171211,0.03785442205309094
4502,45,mass,0.6931471805599453,0.02772955410182476,0.0192206622438643
4503,45,experiment,0.6931471805599453,0.026280388236045837,0.018216177009835927
4504,45,majorana,0.6931471805599453,0.02321922965347767,0.01609434356908192
4506,45,neutrino mass,1.0986122886681098,0.013058788143098354,0.01434654512912126
4505,45,right-handed,0.6931471805599453,0.015973402187228203,0.011071918690027292
4512,45,neutrino oscillations,1.0986122886681098,0.008760140277445316,0.00962399775925789
4513,45,neutrino oscillation,1.0986122886681098,0.00867872592061758,0.009534554946372929
4507,45,flavor,0.6931471805599453,0.013026222586631775,0.009029089459270093
4508,45,interaction,0.6931471805599453,0.012391194701194763,0.008588921670902484
4509,45,supernova,0.6931471805599453,0.011023443192243576,0.007640868568766357
4510,45,antineutrino,0.6931471805599453,0.010600091889500618,0.007347423806883697
4511,45,seesaw,0.6931471805599453,0.00955799501389265,0.006625097295685706
4514,45,sterile,0.6931471805599453,0.008401919156312943,0.00582376657449091
4600,46,inflation,0.6931471805599453,0.08565998077392578,0.05937497416026578
4601,46,perturbation,0.6931471805599453,0.04051677882671356,0.028084091009107394
4602,46,universe,0.6931471805599453,0.039069246500730515,0.027080738058582864
4603,46,inflationary,0.6931471805599453,0.028851358219981194,0.019998237605504968
4604,46,field,0.6931471805599453,0.027843760326504707,0.0192998239665036
4605,46,scalar,0.6931471805599453,0.02706322632730007,0.01875879902562373
4606,46,cosmological,0.6931471805599453,0.026963885873556137,0.018689941470195575
4607,46,inflaton,0.6931471805599453,0.021542727947235107,0.014932281138195953
4608,46,cosmology,0.6931471805599453,0.02096087671816349,0.014528972599259622
4609,46,potential,0.6931471805599453,0.019924895837903023,0.013810885372993069
4614,46,scalar field,1.0986122886681098,0.012403395026922226,0.013626522197781678
4610,46,initial,0.6931471805599453,0.01637701876461506,0.011351684382670247
4611,46,evolution,0.6931471805599453,0.015170739963650703,0.010515555632812573
4612,46,fluctuation,0.6931471805599453,0.01282914076000452,0.008892482746803806
4613,46,curvature,0.6931471805599453,0.012587884441018105,0.008725256609506103
4700,47,production,0.6931471805599453,0.053703323006629944,0.037224306928745586
4701,47,collision,0.6931471805599453,0.0474095493555069,0.03286179546738718
4702,47,jet,0.6931471805599453,0.04681077599525452,0.032446757400933834
4703,47,tev,0.6931471805599453,0.04276572912931442,0.029642944570574616
4704,47,lhc,0.6931471805599453,0.03856101259589195,0.026728457160379044
4705,47,collider,0.6931471805599453,0.033225275576114655,0.023030006088911086
4706,47,event,0.6931471805599453,0.027969377115368843,0.01938689488953577
4707,47,transverse,0.6931471805599453,0.023937636986374855,0.016592305586373195
4722,47,large hadron collider,1.3862943611198906,0.011895641684532166,0.01649086098916966
4708,47,energy,0.6931471805599453,0.022447356954216957,0.015559322183838164
4719,47,large hadron,1.0986122886681098,0.012946821749210358,0.014223537472878052
4709,47,hadron,0.6931471805599453,0.01890794187784195,0.013105986602817464
4710,47,pair,0.6931471805599453,0.018069660291075706,0.012524934084435127
4711,47,pp,0.6931471805599453,0.017297906801104546,0.011989995328774318
4712,47,luminosity,0.6931471805599453,0.01685880683362484,0.011685634424331796
4800,48,quark,0.6931471805599453,0.12576313316822052,0.087172361173937
4801,48,top,0.6931471805599453,0.11375102400779724,0.07884620157681131
4802,48,top quark,1.0986122886681098,0.05414550006389618,0.059484911746276264
4803,48,mass,0.6931471805599453,0.0382203608751297,0.026492335380579796
4804,48,decay,0.6931471805599453,0.03726484999060631,0.025830025704978065
4805,48,bound,0.6931471805599453,0.02411523461341858,0.01671540688083269
4808,48,standard model,1.0986122886681098,0.014105146750807762,0.015496087553904468
4819,48,top quark mass,1.3862943611198906,0.008918101899325848,0.012363114374928008
4806,48,coupling,0.6931471805599453,0.016948921605944633,0.011748097224692063
4812,48,new physics,1.0986122886681098,0.010123861953616142,0.01112219915102223
4807,48,lepton,0.6931471805599453,0.014218897558748722,0.009855788753517366
4824,48,top quarks,1.0986122886681098,0.008235595189034939,0.009047726079169748
4809,48,standard,0.6931471805599453,0.012853886000812054,0.008909634840701825
4829,48,chiral quark,1.0986122886681098,0.007075335364788771,0.0077730503782050065
4810,48,physic,0.6931471805599453,0.011056620627641678,0.007663865414570762
4900,49,phase,0.6931471805599453,0.09844590723514557,0.06823750303770706
4901,49,transition,0.6931471805599453,0.07386692613363266,0.05120065158615722
4902,49,critical,0.6931471805599453,0.06928578019142151,0.048025243192579926
4903,49,temperature,0.6931471805599453,0.03572320565581322,0.024761439280890023
4904,49,point,0.6931471805599453,0.029761215671896935,0.02062890273301182
4905,49,holographic,0.6931471805599453,0.024773940443992615,0.01717198697011348
4906,49,spectral,0.6931471805599453,0.02100505493581295,0.014559594606265509
4907,49,order,0.6931471805599453,0.020972564816474915,0.014537074171650293
4908,49,exponent,0.6931471805599453,0.017820997163653374,0.012352573938753117
4909,49,behavior,0.6931471805599453,0.016700077801942825,0.011575611843548397
4910,49,imaginary,0.6931471805599453,0.016050269827246666,0.011125199277982386
4914,49,critical point,1.0986122886681098,0.009162306785583496,0.010065822827189238
4916,49,finite temperature,1.0986122886681098,0.008480008691549301,0.009316241756548441
4911,49,finite,0.6931471805599453,0.01286621205508709,0.008918178610469996
4919,49,first order,1.0986122886681098,0.00755403283983469,0.00829895330684485
5000,50,data,0.6931471805599453,0.05392860248684883,0.037380458765297324
5001,50,measurement,0.6931471805599453,0.04358096048235893,0.030208019884441488
5002,50,event,0.6931471805599453,0.02744770236313343,0.019025297505854483
5003,50,result,0.6931471805599453,0.022930994629859924,0.015894554275122652
5004,50,detector,0.6931471805599453,0.02206994965672493,0.015297723379658817
5005,50,experiment,0.6931471805599453,0.019094057381153107,0.013234992039196088
5006,50,gev,0.6931471805599453,0.01832364872097969,0.01270098544851792
5007,50,algorithm,0.6931471805599453,0.013806941919028759,0.009570242863329704
5008,50,analysis,0.6931471805599453,0.013640775345265865,0.009455064971222648
5009,50,muon,0.6931471805599453,0.012462503276765347,0.00863834900900898
5010,50,experimental,0.6931471805599453,0.011586352251470089,0.008031047396080866
5011,50,energy,0.6931471805599453,0.011208701878786087,0.007769280105017538
5012,50,precision,0.6931471805599453,0.011102959513664246,0.007695985082767593
5013,50,fit,0.6931471805599453,0.010997217148542404,0.007622690060517649
5014,50,beam,0.6931471805599453,0.010770626366138458,0.007465629298553481
5100,51,mass,0.6931471805599453,0.10417813807725906,0.0722107826842368
5101,51,lepton,0.6931471805599453,0.06376223266124725,0.04419661179535079
5102,51,bound,0.6931471805599453,0.03394784778356552,0.02353085497725663
5103,51,flavour,0.6931471805599453,0.02770940773189068,0.019206697844345973
5104,51,flavor,0.6931471805599453,0.027556316927075386,0.019100583384618598
5105,51,decay,0.6931471805599453,0.019404245540499687,0.01344999808729025
5106,51,neutrino,0.6931471805599453,0.01932770013809204,0.013396940857426563
5107,51,heavy,0.6931471805599453,0.017012204974889755,0.01179196191345271
5108,51,scale,0.6931471805599453,0.015232527628540993,0.010558383578524658
5109,51,generation,0.6931471805599453,0.014371393248438835,0.009961490710873612
5110,51,violation,0.6931471805599453,0.014275711961090565,0.009895169496315812
5111,51,light,0.6931471805599453,0.012706534005701542,0.00880749822074109
5112,51,quark,0.6931471805599453,0.012687397189438343,0.008794233590503362
5113,51,coupling,0.6931471805599453,0.012304671108722687,0.008528948086728546
5114,51,number,0.6931471805599453,0.012266398407518864,0.008502419471796703
5200,52,star,0.6931471805599453,0.056549131870269775,0.039196871318990044
5201,52,wave,0.6931471805599453,0.044266145676374435,0.03068295406983475
5202,52,nuclear,0.6931471805599453,0.03858025372028351,0.026741794091501854
5203,52,matter,0.6931471805599453,0.03451629728078842,0.023924874143547402
