,bai,centrality,ph_ph_centrality,th_th_centrality,group
3431,Alejandro.Ibarra.1,0.002318885238054453,0.0018051002226469855,0.0019618939088470078,ph
1901,A.Djouadi.1,0.0023086657008706403,0.0021352226009652983,0.001982399404979867,ph
673,I.Antoniadis.1,0.002302829907436541,0.0002971630211286922,0.0027817175628844404,th
17,A.D.Linde.1,0.0022953091963663604,0.0005551142442674896,0.002471733634904102,th
200,Giancarlo.Rossi.1,0.0022931041959016176,0.0004154476787795083,0.002914891811076944,ph
538,N.Seiberg.1,0.0022871078323517834,9.149136459908486e-05,0.002947922821958243,th
2777,B.C.Allanach.1,0.0022844484612651603,0.0026372020279435463,0.0012959828707458938,ph
3281,M.Perelstein.1,0.0022825006860851386,0.001312033848988047,0.0014851976617081004,ph
1025,I.L.Buchbinder.1,0.0022808184445766186,0.0005765455197985776,0.0033423889282019384,th
1782,G.F.Giudice.1,0.0022743467553468645,0.0040807954492728974,0.0008365278036194411,ph
3076,T.Plehn.1,0.002228809972831153,0.0024988693151584977,0.0012803474289238268,ph
2148,K.Huitu.1,0.002203673202583488,0.0034010675513603144,0.0006773138253285551,ph
753,Mirjam.Cvetic.1,0.0022022894610163536,0.0008086654821335706,0.0025551799467096285,th
3343,David.Tong.1,0.0021985869164229347,0.0002512614275789724,0.0021607342589491604,th
2617,Hsin-Chia.Cheng.1,0.0021973967967686124,0.002537818920956433,0.000930815847250653,ph
4076,K.Y.Choi.1,0.0021797781769519586,0.001257351130798418,0.0023809344514519543,ph
3668,Iosif.Bena.1,0.0021719748240571182,0.00029123469672380953,0.0023547840531444025,th
2263,Michael.Kramer.2,0.0021132463488675755,0.003199084387683724,0.0006673895470453825,ph
536,M.E.Shaposhnikov.1,0.0021058852292626952,0.0013023760868929879,0.0022234027234255913,ph
3754,P.Z.Skands.1,0.002099559828921547,0.0013208575478014862,0.002103985529927583,ph
2518,A.Brandhuber.1,0.0020868972679602164,0.00025916274483934885,0.0019945688617169417,th
3107,A.de.Gouvea.1,0.0020860852066301293,0.0025224993310590145,0.0010873606750656723,ph
1470,J.A.Helayel.Neto.1,0.0020788298823405673,0.0002776724473832393,0.0038004232744190455,th
2499,M.Beccaria.1,0.002031100925409884,0.0012072449675664748,0.0015249857176198333,th
2029,Matthias.Neubert.1,0.0020012290904646707,0.0017075289626834185,0.0019341439701298588,ph
3133,M.Trigiante.1,0.001992950573882605,4.80790965143174e-06,0.002783946924768055,th
355,E.A.Ivanov.1,0.0019751574804723593,0.00013647974442694577,0.004019231626726292,th
116,H.Fraas.1,0.001965343027768192,0.0017842441659647644,0.0011360315073593763,ph
1639,G.V.Dunne.1,0.001948511795386285,0.0008131929317615886,0.0027297422992931812,th
3954,N.Beisert.1,0.0019093671165581537,0.00013142465432409718,0.0027411123894120165,th
1769,G.Moultaka.1,0.001905416527314531,0.0014628924304857867,0.0021678475001228074,ph
317,H.Nicolai.1,0.001894152256392325,0.00024519685712554745,0.0022229837715919774,th
1905,H.K.Dreiner.1,0.0018930730489085952,0.0018082227154320861,0.0012766823443246408,ph
686,S.T.Petcov.1,0.0018885523207459167,0.00292408080028049,0.0007383742115640405,ph
829,U.Lindstrom.1,0.0018739329443922899,0.0007887324463437744,0.0024397344026816452,th
3261,F.Krauss.1,0.0018680699685533415,0.0019342153530306995,0.0013352007531683035,ph
386,P.C.West.1,0.0018515122830616733,0.00026924601582016403,0.0026260218970357726,th
583,M.Chaichian.1,0.001822327306589562,0.00026764683902717154,0.002684315889082328,th
1810,B.Mukhopadhyaya.1,0.0017946664497846166,0.002667569462149015,0.00041811861907338385,ph
432,O.Piguet.1,0.0017927021720818789,0.001961451843404918,0.0016777665571801694,th
18,T.T.Yanagida.1,0.0017864686327477117,0.002500196946895587,0.0010671496590622632,ph
345,Pieter.Van.Nieuwenhuizen.1,0.0017817258984950779,0.000678096321493582,0.002844541141435412,th
2455,M.K.Hirsch.1,0.0017690535103139793,0.002450962052134246,0.0005968316815223185,ph
441,T.R.Taylor.1,0.0017612498500505023,0.0012217117597005682,0.00212493687924591,th
619,Graham.G.Ross.1,0.001733792112552523,0.0013612146731851573,0.001890353442673971,ph
612,Jonathan.L.Rosner.1,0.0017241872066360983,0.0033827106984354554,0.0007688306286254506,ph
598,H.E.Haber.1,0.0017182269536314117,0.0027594453707970343,0.0007033004593988728,ph
165,S.F.King.1,0.0017024649109504317,0.0028947005260347974,0.00028443148079588274,ph
73,T.G.Rizzo.1,0.0017002847827799602,0.002094697820097731,0.0008734610016910596,ph
5762,E.Rinaldi.1,0.0016978736791799175,0.0013175217803266198,0.0014205971818199432,ph
