ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
standard model prediction,491,0.00831556448976686,123781244.12500693,491,0.00831556448976686,123781244.12500693
dark matter annihilation,491,0.00831556448976686,123781012.33489123,491,0.00831556448976686,123781012.33489123
electric dipole moment,486,0.00823088460697901,122522849.07414737,486,0.00823088460697901,122522849.07414737
electroweak symmetry breaking,486,0.00823088460697901,122522528.62673664,486,0.00823088460697901,122522528.62673664
direct detection experiment,481,0.008146204724191159,121263838.68814415,481,0.008146204724191159,121263838.68814415
chiral symmetry breaking,476,0.008061524841403309,120007708.34836163,476,0.008061524841403309,120007708.34836163
anomalous dimension,591,0.007932073332146513,148934974.04908124,591,0.007932073332146513,148934974.04908124
neutral higgs,591,0.007932073332146513,148931536.79759392,591,0.007932073332146513,148931536.79759392
relic abundance,589,0.007905230444389672,148428312.30057678,589,0.007905230444389672,148428312.30057678
gauge boson,587,0.007878387556632832,147926880.0965383,587,0.007878387556632832,147926880.0965383
integrated luminosity,582,0.00781128033724073,146670370.1155777,582,0.00781128033724073,146670370.1155777
transverse momentum,580,0.0077844374494838876,146168616.0783619,580,0.0077844374494838876,146168616.0783619
neutrino mass matrix,459,0.0077736132399246205,115729482.33254091,459,0.0077736132399246205,115729482.33254091
elastic scattering,577,0.007744173117848627,145413950.0686217,577,0.007744173117848627,145413950.0686217
initial state,575,0.007717330230091786,144911158.07730436,575,0.007717330230091786,144911158.07730436
semileptonic decay,574,0.007703908786213365,144659686.0971039,574,0.007703908786213365,144659686.0971039
next-to-next-to-leading order,569,0.007636801566821263,143402206.09887165,569,0.007636801566821263,143402206.09887165
high temperature,559,0.007502587128037058,140887568.13230988,559,0.007502587128037058,140887568.13230988
quark mass,548,0.007354951245374433,138121390.0596006,548,0.007354951245374433,138121390.0596006
quantum field theory,433,0.007333277849427801,109185672.8826116,433,0.007333277849427801,109185672.8826116
decay width,546,0.007328108357617592,137618272.07221025,546,0.007328108357617592,137618272.07221025
nuclear matter,543,0.00728784402598233,136864284.08557147,543,0.00728784402598233,136864284.08557147
grand unification,540,0.007247579694347069,136108922.0756982,540,0.007247579694347069,136108922.0756982
electric dipole,538,0.007220736806590228,135604407.08260205,538,0.007220736806590228,135604407.08260205
large value,536,0.007193893918833387,135102598.05451232,536,0.007193893918833387,135102598.05451232
cosmic microwave,534,0.007167051031076545,134599103.0819377,534,0.007167051031076545,134599103.0819377
present result,531,0.007126786699441284,133845728.04468627,531,0.007126786699441284,133845728.04468627
spectral function,531,0.007126786699441284,133845896.06949201,531,0.007126786699441284,133845896.06949201
boundary condition,530,0.0071133652555628625,133593718.065617,530,0.0071133652555628625,133593718.065617
angular momentum,525,0.007046258036170761,132337590.04290242,525,0.007046258036170761,132337590.04290242
scalar meson,525,0.007046258036170761,132337176.07009296,525,0.007046258036170761,132337176.07009296
final state interaction,415,0.007028430271391541,104654168.18290861,415,0.007028430271391541,104654168.18290861
electroweak phase transition,411,0.00696068636516126,103645239.23462307,411,0.00696068636516126,103645239.23462307
unified theory,518,0.006952307929021817,130575536.06208667,518,0.006952307929021817,130575536.06208667
electromagnetic form,514,0.006898622153508135,129568949.02763724,514,0.006898622153508135,129568949.02763724
electroweak precision,514,0.006898622153508135,129567548.13088362,514,0.006898622153508135,129567548.13088362
standard model higgs,405,0.0068590705058158416,102135286.10443461,405,0.0068590705058158416,102135286.10443461
quantum field,508,0.0068180934902376126,128059864.88523695,508,0.0068180934902376126,128059864.88523695
\cal o,508,0.0068180934902376126,128059230.05090168,508,0.0068180934902376126,128059230.05090168
second order,507,0.006804672046359191,127807932.10580647,507,0.006804672046359191,127807932.10580647
global fit,500,0.006710721939210249,126046514.06400637,500,0.006710721939210249,126046514.06400637
simple model,497,0.006670457607574987,125292516.0320895,497,0.006670457607574987,125292516.0320895
previous work,495,0.006643614719818146,124789262.02928989,495,0.006643614719818146,124789262.02928989
heavy meson,494,0.006630193275939726,124537218.14827989,494,0.006630193275939726,124537218.14827989
cold dark matter,391,0.006621966834009861,98609569.08552396,391,0.006621966834009861,98609569.08552396
third generation,491,0.006589928944304464,123781462.09745745,491,0.006589928944304464,123781462.09745745
