ngram,count,unithood
b- >,218,0.002590590259815119
pair production,218,0.002590590259815119
kinetic energy,217,0.0025787068182563343
nuclear physic,217,0.0025787068182563343
cp-even higgs boson,171,0.002564184964158631
finite temperature and density,147,0.002559112301136981
subsequent decay,215,0.002554939935138764
perturbative calculation,215,0.002554939935138764
landau gauge,215,0.002554939935138764
kinematic region,215,0.002554939935138764
x u,215,0.002554939935138764
e- annihilation,215,0.002554939935138764
final result,215,0.002554939935138764
invariant mass spectrum,170,0.002549189730450101
small neutrino mass,170,0.002549189730450101
specific model,214,0.002543056493579979
two-higgs doublet model,169,0.002534194496741571
high transverse momentum,169,0.002534194496741571
dark matter detection,169,0.002534194496741571
observed baryon,213,0.002531173052021194
gauge coupling,213,0.002531173052021194
one-loop order,213,0.002531173052021194
decay mode,213,0.002531173052021194
fine structure,212,0.002519289610462409
hidden sector,212,0.002519289610462409
standard model fermion,168,0.0025191992630330413
njl model,211,0.0025074061689036244
hybrid inflation,211,0.0025074061689036244
solar neutrino data,167,0.002504204029324511
nlo correction,210,0.0024955227273448393
first principle,210,0.0024955227273448393
logarithmic accuracy,210,0.0024955227273448393
theoretical calculation,210,0.0024955227273448393
nuclear structure,209,0.0024836392857860543
nuclear effect,209,0.0024836392857860543
large class,209,0.0024836392857860543
compact star,208,0.0024717558442272696
relativistic correction,206,0.0024479889611096995
lepton mass,206,0.0024479889611096995
phenomenological study,206,0.0024479889611096995
scalar boson,206,0.0024479889611096995
quark-antiquark pair,206,0.0024479889611096995
scalar sector,206,0.0024479889611096995
flavour symmetry,205,0.002436105519550915
numerical evaluation,205,0.002436105519550915
minimal extension,205,0.002436105519550915
direct cp asymmetry,162,0.002429227860781861
soft term,203,0.0024123386364333444
infrared divergence,202,0.0024004551948745598
inclusive production,202,0.0024004551948745598
different approach,202,0.0024004551948745598
heavy majorana neutrino,160,0.002399237393364801
electroweak precision data,160,0.002399237393364801
kinetic equation,201,0.0023885717533157747
flat direction,201,0.0023885717533157747
real photon,201,0.0023885717533157747
precise determination,201,0.0023885717533157747
nuclear medium,201,0.0023885717533157747
two-loop correction,201,0.0023885717533157747
kinetic mixing,201,0.0023885717533157747
critical value,201,0.0023885717533157747
long baseline,200,0.0023766883117569896
first result,200,0.0023766883117569896
atmospheric neutrino data,158,0.002369246925947741
pole mass,199,0.002364804870198205
significant contribution,199,0.002364804870198205
new model,199,0.002364804870198205
boson production,199,0.002364804870198205
x su,199,0.002364804870198205
new source,199,0.002364804870198205
heavy higgs boson,157,0.002354251692239211
early stage,198,0.00235292142863942
quartic coupling,198,0.00235292142863942
experimental information,198,0.00235292142863942
experimental signature,198,0.00235292142863942
low momentum,197,0.002341037987080635
weak boson,197,0.002341037987080635
exact solution,196,0.0023291545455218503
recent observation,196,0.0023291545455218503
physical value,195,0.0023172711039630652
axion-like particle,195,0.0023172711039630652
physical quantity,194,0.00230538766240428
physical observables,194,0.00230538766240428
coupled channel,194,0.00230538766240428
two-higgs doublet,194,0.00230538766240428
radial excitation,194,0.00230538766240428
present status,194,0.00230538766240428
dark matter scenario,153,0.002294270757405091
azimuthal asymmetry,193,0.0022935042208454956
main feature,193,0.0022935042208454956
heavy fermion,192,0.00228162077928671
small neutrino,192,0.00228162077928671
pb+pb collision,192,0.00228162077928671
inclusive cross,192,0.00228162077928671
parton distribution,192,0.00228162077928671
higgs boson production,152,0.0022792755236965613
associated production,191,0.002269737337727925
intermediate scale,191,0.002269737337727925
susy particle,191,0.002269737337727925
qcd evolution,191,0.002269737337727925
unified model,190,0.0022578538961691404
lorentz violation,190,0.0022578538961691404
open charm,190,0.0022578538961691404
top production,190,0.0022578538961691404
higgs particle,190,0.0022578538961691404
standard model background,150,0.0022492850562795008
axial anomaly,189,0.0022459704546103553
numerical study,189,0.0022459704546103553
first step,189,0.0022459704546103553
nlo qcd,189,0.0022459704546103553
standard model field,149,0.002234289822570971
sensitive probe,188,0.0022340870130515703
dense matter,188,0.0022340870130515703
scalar singlet,188,0.0022340870130515703
susy breaking,188,0.0022340870130515703
kinematical region,187,0.0022222035714927857
general form,187,0.0022222035714927857
explicit expression,187,0.0022222035714927857
leptonic mixing,187,0.0022222035714927857
high transverse,187,0.0022222035714927857
linear combination,187,0.0022222035714927857
simple extension,187,0.0022222035714927857
spontaneous cp violation,148,0.0022192945888624407
charmed meson,186,0.0022103201299340006
simplified model,186,0.0022103201299340006
strong phase,186,0.0022103201299340006
best fit,186,0.0022103201299340006
main result,185,0.0021984366883752156
long range,185,0.0021984366883752156
general case,185,0.0021984366883752156
sm-like higgs,185,0.0021984366883752156
electroweak gauge boson,146,0.002189304121445381
soft mass,184,0.002186553246816431
lower energy,184,0.002186553246816431
logarithmic approximation,184,0.002186553246816431
quantum fluctuation,183,0.002174669805257646
experimental test,183,0.002174669805257646
neutral pion,183,0.002174669805257646
decay channel,183,0.002174669805257646
hadronic contribution,183,0.002174669805257646
high energy physic,145,0.002174308887736851
non-abelian gauge,182,0.002162786363698861
light vector,182,0.002162786363698861
minimal standard model,144,0.002159313654028321
nucleon form factor,144,0.002159313654028321
nuclear target,181,0.0021509029221400758
hadronic interaction,181,0.0021509029221400758
massive quark,181,0.0021509029221400758
electromagnetic interaction,181,0.0021509029221400758
supersymmetric su,181,0.0021509029221400758
new gauge boson,143,0.002144318420319791
high energy neutrino,143,0.002144318420319791
qcd phase transition,143,0.002144318420319791
current bound,180,0.0021390194805812907
longitudinal polarization,180,0.0021390194805812907
scalar doublet,180,0.0021390194805812907
magnetic dipole,180,0.0021390194805812907
current quark mass,142,0.002129323186611261
light-cone sum rule,142,0.002129323186611261
large mixing,179,0.0021271360390225057
thermal leptogenesis,179,0.0021271360390225057
nonleptonic decay,179,0.0021271360390225057
inclusive decay,179,0.0021271360390225057
new type,178,0.002115252597463721
finite size,178,0.002115252597463721
current quark,178,0.002115252597463721
internal structure,177,0.002103369155904936
small mixing,177,0.002103369155904936
new class,177,0.002103369155904936
final-state interaction,177,0.002103369155904936
recent study,177,0.002103369155904936
minimal flavor violation,140,0.002099332719194201
electroweak precision test,140,0.002099332719194201
dark matter halo,140,0.002099332719194201
nambu-goldstone boson,176,0.002091485714346151
lepton flavor,176,0.002091485714346151
present paper,176,0.002091485714346151
realistic model,176,0.002091485714346151
small momentum,176,0.002091485714346151
