ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
cosmic string,377,0.0047956005005196185,68102632.03963315,377,0.0047956005005196185,68102632.03963315
cosmological solution,375,0.004770159649057976,67741752.05025816,375,0.004770159649057976,67741752.05025816
new type,373,0.004744718797596334,67381458.01883301,373,0.004744718797596334,67381458.01883301
anti-de sitter,372,0.004731998371865513,67200404.05382921,372,0.004731998371865513,67200404.05382921
general form,372,0.004731998371865513,67201108.02253522,372,0.004731998371865513,67201108.02253522
fundamental representation,369,0.004693837094673048,66660476.0244423,369,0.004693837094673048,66660476.0244423
super yang-mills,365,0.0046429553917497635,65939232.03954879,365,0.0046429553917497635,65939232.03954879
black hole background,288,0.004622800361282547,52050556.044340946,288,0.004622800361282547,52050556.044340946
einstein equation,363,0.004617514540288121,65578360.037454285,363,0.004617514540288121,65578360.037454285
new solution,360,0.004579353263095657,65037740.0292565,360,0.004579353263095657,65037740.0292565
non-abelian gauge theory,285,0.00457464619085252,51509768.021460414,285,0.00457464619085252,51509768.021460414
gauge symmetry,355,0.004515751134441551,64136320.0219521,355,0.004515751134441551,64136320.0219521
magnetic charge,353,0.004490310282979908,63775246.05893621,353,0.004490310282979908,63775246.05893621
such model,352,0.0044775898572490865,63595190.02330916,352,0.0044775898572490865,63595190.02330916
supersymmetric extension,350,0.004452149005787444,63234922.021312736,350,0.004452149005787444,63234922.021312736
n=4 sym,349,0.004439428580056623,63054230.06710361,349,0.004439428580056623,63054230.06710361
chemical potential,347,0.004413987728594981,62693390.04541485,347,0.004413987728594981,62693390.04541485
late time,347,0.004413987728594981,62693308.049525745,347,0.004413987728594981,62693308.049525745
perturbative expansion,346,0.0044012673028641595,62513194.025631,346,0.0044012673028641595,62513194.025631
finite number,345,0.004388546877133338,62332938.02530475,345,0.004388546877133338,62332938.02530475
high temperature,345,0.004388546877133338,62332722.0725552,345,0.004388546877133338,62332722.0725552
general case,345,0.004388546877133338,62332884.02216371,345,0.004388546877133338,62332884.02216371
general class,344,0.004375826451402517,62152482.02223308,344,0.004375826451402517,62152482.02223308
exact result,341,0.004337665174210054,61611528.029240176,341,0.004337665174210054,61611528.029240176
