ngram,count,unithood
heavy higgs boson,205,0.0027563731805047144
virtual compton scattering,205,0.0027563731805047144
hard process,258,0.0027491146763563845
effective hamiltonian,258,0.0027491146763563845
nuclear effect,258,0.0027491146763563845
differential equation,258,0.0027491146763563845
electron-positron annihilation,257,0.002738459193114693
free energy,257,0.002738459193114693
new mechanism,257,0.002738459193114693
finite volume,256,0.002727803709873002
new contribution,255,0.0027171482266313105
long distance,255,0.0027171482266313105
dark matter detection,202,0.002716036012009524
qcd calculation,254,0.002706492743389619
angular correlation,254,0.002706492743389619
two-higgs doublet model,201,0.002702590289177793
weak boson,253,0.0026958372601479275
axion-like particle,253,0.0026958372601479275
cp asymmetry,253,0.0026958372601479275
neutrino mass generation,200,0.002689144566346063
systematic study,252,0.0026851817769062364
kinetic mixing,252,0.0026851817769062364
heavy quark limit,199,0.002675698843514333
decay channel,251,0.002674526293664545
real part,251,0.002674526293664545
nlo correction,251,0.002674526293664545
theoretical calculation,250,0.0026638708104228534
nuclear physic,250,0.0026638708104228534
exclusive process,250,0.0026638708104228534
logarithmic accuracy,250,0.0026638708104228534
nlo qcd,250,0.0026638708104228534
standard model background,197,0.002648807397850872
b- >,248,0.002642559843939471
majorana mass,248,0.002642559843939471
first-order phase,248,0.002642559843939471
phenomenological study,248,0.002642559843939471
cp-even higgs boson,196,0.0026353616750191414
high transverse momentum,196,0.0026353616750191414
cosmological constraint,247,0.0026319043606977794
jona-lasinio model,247,0.0026319043606977794
standard model fermion,195,0.0026219159521874112
dynamical quark,246,0.002621248877456088
inclusive production,245,0.0026105933942143964
e- collider,245,0.0026105933942143964
effective interaction,244,0.0025999379109727045
e- annihilation,244,0.0025999379109727045
external field,243,0.002589282427731013
dark matter abundance,192,0.0025815787836922202
low-energy constant,242,0.002578626944489322
inclusive cross,242,0.002578626944489322
associated production,241,0.0025679714612476304
kinetic energy,241,0.0025679714612476304
perturbative calculation,240,0.002557315978005939
analytical result,240,0.002557315978005939
hidden sector,240,0.002557315978005939
analytic result,240,0.002557315978005939
cosmic string,239,0.0025466604947642474
large class,239,0.0025466604947642474
arbitrary number,239,0.0025466604947642474
latter case,239,0.0025466604947642474
observed baryon asymmetry,189,0.0025412416151970292
final result,237,0.002525349528280865
quark-antiquark pair,237,0.002525349528280865
numerical solution,237,0.002525349528280865
experimental signature,237,0.002525349528280865
brief review,237,0.002525349528280865
effective model,236,0.0025146940450391734
direct cp asymmetry,187,0.002514350169533569
higgs boson production,187,0.002514350169533569
molecular state,235,0.002504038561797482
first result,235,0.002504038561797482
recent observation,234,0.002493383078555791
boson production,234,0.002493383078555791
new physic scenario,185,0.002487458723870108
schwinger-dyson equation,233,0.0024827275953140993
relativistic correction,233,0.0024827275953140993
lhc search,233,0.0024827275953140993
precise determination,233,0.0024827275953140993
two-higgs doublet,233,0.0024827275953140993
small neutrino mass,184,0.002474013001038378
sensitive probe,232,0.002472072112072408
numerical value,232,0.002472072112072408
constituent quark,232,0.002472072112072408
gauge coupling,231,0.0024614166288307164
open charm,231,0.0024614166288307164
x u,230,0.0024507611455890253
scalar sector,230,0.0024507611455890253
one-loop contribution,230,0.0024507611455890253
experimental information,230,0.0024507611455890253
new source,229,0.002440105662347334
observed baryon,229,0.002440105662347334
finite density,228,0.0024294501791056423
specific model,228,0.0024294501791056423
nuclear structure,228,0.0024294501791056423
electroweak precision data,180,0.0024202301097114567
electroweak gauge boson,180,0.0024202301097114567
new model,227,0.002418794695863951
azimuthal asymmetry,227,0.002418794695863951
dark photon,227,0.002418794695863951
large n,227,0.002418794695863951
long baseline,227,0.002418794695863951
minimal extension,226,0.0024081392126222593
radial excitation,226,0.0024081392126222593
charmed meson,225,0.002397483729380568
top production,225,0.002397483729380568
sm-like higgs,225,0.002397483729380568
chiral expansion,225,0.002397483729380568
gauge invariance,224,0.0023868282461388763
new gauge boson,177,0.0023798929412162653
numerical evaluation,223,0.0023761727628971853
center-of-mass energy,223,0.0023761727628971853
first principle,223,0.0023761727628971853
high energy physic,176,0.0023664472183845355
significant contribution,222,0.0023655172796554938
susy particle,222,0.0023655172796554938
one-loop order,221,0.0023548617964138023
longitudinal polarization,221,0.0023548617964138023
different approach,221,0.0023548617964138023
quartic coupling,221,0.0023548617964138023
heavy majorana neutrino,175,0.002353001495552805
fine structure,220,0.002344206313172111
best fit,220,0.002344206313172111
nuclear medium,220,0.002344206313172111
dark matter scenario,174,0.0023395557727210747
solar neutrino data,174,0.0023395557727210747
nuclear target,219,0.0023335508299304197
hybrid inflation,219,0.0023335508299304197
light-cone sum rule,173,0.002326110049889344
finite temperature and density,149,0.0023258901191301994
first step,218,0.0023228953466887282
landau gauge,218,0.0023228953466887282
neutral pion,217,0.0023122398634470367
high transverse,217,0.0023122398634470367
lower energy,217,0.0023122398634470367
early stage,217,0.0023122398634470367
flavour symmetry,216,0.0023015843802053453
main feature,216,0.0023015843802053453
coupled channel,216,0.0023015843802053453
heavy fermion,215,0.0022909288969636538
pb+pb collision,215,0.0022909288969636538
compact star,214,0.0022802734137219623
next-to-leading order correction,169,0.0022723271585624234
new state,213,0.0022696179304802708
present status,213,0.0022696179304802708
njl model,213,0.0022696179304802708
current bound,213,0.0022696179304802708
qcd evolution,212,0.0022589624472385797
final-state interaction,212,0.0022589624472385797
parton distribution,212,0.0022589624472385797
internal structure,212,0.0022589624472385797
real photon,212,0.0022589624472385797
kinematical region,211,0.0022483069639968882
physical observables,211,0.0022483069639968882
